node_id,node_type,name,birth_year,death_year,role,location
1,Person,Muhammad,570,632,Prophet_Religious_Social_Political_Leader,Mecca
2,Person,Abdullah_ibn_Abd_al-Muttalib,,,Quraysh_tribal_leader,
3,Person,Amina_bint_Wahb,,,,,
4,Person,Abd_al-Muttalib_ibn_Hashim,,,,,
5,Person,Abu_Talib,,,,,
6,Angel,Gabriel,,,,,
7,Deity,God,,,,,
8,Place,Mecca,,,,,
9,Place,Medina,,,,,
10,Place,Abyssinia,,,,,
11,Event,Hijrah,,,,,
12,Document,Constitution_of_Medina,,,,,
13,Event,Battle_of_Badr,,,,,
14,Person,Abu_Jahl,,,,,
15,Person,Asma_bint_Marwan,,,,,
16,Person,Abu_'Afak',,,,,,
17,Person,Aws_Manat,,,,,
18,Person,'Amr_b._'Awf',,,,,,
19,Place,Ta'if,,,,,
20,Person,Utbah_ibn_Rabi'ah,,,,,
21,Person,Addas,,,,,
22,Person,Akhnas_ibn_Shariq,,,,,
23,Person,Suhayl_ibn_Amir,,,,,
24,Person,Mut'im_ibn_'Adiy,,,,,
25,Event,Isra'_Mi'raj,,,,,
26,Place,Jerusalem,,,,,
27,Person,Mus'ab_ibn_Umayr,,,,,
28,Event,Second_Pledge_of_al-Aqabah,,,,,
29,Group_of_People,Muhajirun,,,,,
30,Group_of_People,Ansar,,,,,
31,Building,Masjid,,,,,
32,Person,Bilal,,,,,
33,Event,Raid_Nakhla,,,,,
34,Person,Abdullah_ibn_Ubayy,,,,,
35,Group_of_People,Banu_Qaynuqa,,,,,
36,Person,Ka'b_ibn_al-Ashraf,,,,,
37,Person,Ibn_Maslamah,,,,,
38,Person,Abu_Naila,,,,,
39,Event,Battle_of_Uhud,,,,,
40,Person,Abu_Sufyan,,,,,
41,Group_of_People,Banu_Nadir,,,,,
42,Group_of_People,Banu_Mustaliq,,,,,
43,Event,Battle_of_the_Trench,,,,,
44,Person,Salman_the_Persian,,,,,
45,Group_of_People,Banu_Qurayza,,,,,
46,Person,Sa'd_ibn_Mu'adh,,,,,
47,Group_of_People,Banu_Fazara,,,,,
48,Person,Umm_Qirfa,,,,,
49,Person,Zayd_ibn_Haritha,,,,,
50,Treaty,Treaty_of_Hudaybiyya,,,,,
51,Place,Khaybar,,,,,
52,Person,Kenana_ibn_al-Rabi,,,,,
53,Person,Muhammad_ibn_Maslamah,,,,,
54,Person,Safiyya_bint_Huyayy,,,,,
55,Group_of_People,Jews_of_Fadak,,,,,
56,Person,Zaynab_bint_al-Harith,,,,,
57,Person,Bishr,,,,,
58,Group_of_People,Banu_Khuza'ah,,,,,
59,Group_of_People,Banu_Bakr,,,,,
60,Event,Conquest_of_Mecca,,,,,
61,Group_of_People,Banu_Hawazin,,,,,
62,Place,Hunayn,,,,,
63,Place,Taif,,,,,
64,Person,Mu'awiya,,,,,
65,Person,Yazid,,,,,
66,Place,Tabuk,,,,,
67,Person,Khalid_ibn_Walid,,,,,
68,Group_of_People,Banu_Thaqif,,,,,
69,Event,Farewell_Pilgrimage,,,,,
70,Building,Green_Dome,,,,,
71,Person,Al_Mansur_Qalawun,,,,,
72,Person,Suleiman_the_Magnificent,,,,,
73,Person,Saud_bin_Abdul-Aziz,,,,,
74,Group_of_People,Wahhabism,,,,,
75,Person,Umar_ibn_al-Khattab,,,,,
76,Person,Abu_Bakr,,,,,
77,Person,Ali_ibn_Abi_Talib,,,,,
78,Event,Ghadir_Khumm,,,,,
79,Empire,Byzantine_Empire,,,,,
80,Conflict,Ridda_wars,,,,,
81,Empire,Sasanian_Empire,,,,,
82,Conflict,Roman-Persian_Wars,,,,,
83,Caliphate,Rashidun_Caliphate,,,,,
84,Person,Khadija,,,,,
85,Person,Rayhana_bint_Zayd,,,,,
86,Person,Maria_al-Qibtiyya,,,,,
87,Person,Khawla_bint_Hakim,,,,,
88,Person,Sawdah_bint_Zam'ah,,,,,
89,Person,Aisha,,,,,
90,Person,Umm_Ruman,,,,,
91,Person,Ruqayya_bint_Muhammad,,,,,
92,Person,Umm_Kulthum_bint_Muhammad,,,,,
93,Person,Zainab_bint_Muhammad,,,,,
94,Person,Fatimah_Zahra,,,,,
95,Person,Abd_Allah_ibn_Muhammad,,,,,
96,Person,Qasim_ibn_Muhammad,,,,,
97,Person,Ibrahim_ibn_Muhammad,,,,,
98,Person,Hakim_ibn_Hizam,,,,,
99,Person,Zaynab_bint_Jahsh,,,,,
100,Book,Quran,,,,,
101,Religious_Practice,Islam,,,,,
102,Concept,Shahada,,,,,
103,Concept,Sunnah,,,,,
104,Poem,Qasidat_al-Burda,,,,,
105,Person,al-Busiri,,,,,
